main_id,st_name,dist,dist_name,start_time,end_time,side,from,to,miles,section,one_way,week_1,week_2,week_3,week_4,week_5,sunday,monday,tuesday,wednesday,thursday,friday,saturday,every_day,year_round,north_end_pilot,timestamp,parent,losta,hista,_ingest_datetime,normalized_st_name,one_way_bool,week_1_bool,week_2_bool,week_3_bool,week_4_bool,week_5_bool,sunday_bool,monday_bool,tuesday_bool,wednesday_bool,thursday_bool,friday_bool,saturday_bool,every_day_bool,year_round_bool,north_end_pilot_bool,suburb
1,Ackley Pl,2,Jamaica Plain,08:00,12:00,even,Washington St,Dead End,0.0454545454545455,,f,f,t,f,t,f,f,t,f,f,f,f,t,f,f,f,2018-06-26 13:43:55+00,ACKLE1,0.0,240.0,2024-09-12 04:31:41+00,ackley pl,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,Jamaica Plain
2,Arcadia Park,3,Dorchester,08:00,12:00,even,Draper St,Ditson St,0.0835227272727273,,f,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,2014-06-19 13:15:28+00,ARCAD1,0.0,441.0,2024-09-12 04:31:41+00,arcadia park,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,Dorchester
3,Ashcroft St,2,Jamaica Plain,08:00,12:00,odd,Perkins St,Moraine St,0.101515151515152,,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,f,2012-02-14 13:36:32+00,ASHCR1,0.0,536.0,2024-09-12 04:31:41+00,ashcroft st,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,Jamaica Plain
4,Boylston St,1B,Back Bay,00:01,07:00,none,Tremont St,Charles St,0.151893939393939,,f,t,t,t,t,t,t,t,t,t,t,t,t,t,t,f,2012-02-29 15:06:53+00,BOYLS6,525.0,1327.0,2024-09-12 04:31:41+00,boylston st,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,Back Bay
5,Chestnut St,1H,Beacon Hill,08:00,12:00,even,Walnut St,Charles St,0.200757575757576,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,t,2012-02-14 13:36:32+00,CHEST10,0.0,1060.0,2024-09-12 04:31:41+00,chestnut st,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,Beacon Hill
6,Blackwood St,1B,Back Bay,08:00,12:00,even,St Botolph St,Dead End,0.0517045454545455,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,BLACK4,0.0,273.0,2024-09-12 04:31:41+00,blackwood st,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,Back Bay
7,Bucknam St,10M,Mission Hill,12:00,16:00,odd,Lawn St,Fisher Ave,0.0803030303030303,,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,f,2018-09-24 17:15:05+00,BUCKN1,0.0,424.0,2024-09-12 04:31:41+00,bucknam st,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,Mission Hill
8,Acadia St,5,South Boston,09:00,13:00,even,East First St,East Second St,0.0568181818181818,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,ACADI1,0.0,300.0,2024-09-12 04:31:41+00,acadia st,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,South Boston
9,Acadia St,5,South Boston,09:00,13:00,odd,East First St,East Second St,0.0568181818181818,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,ACADI1,0.0,300.0,2024-09-12 04:31:41+00,acadia st,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,South Boston
10,Allston St,7,Dorchester,12:00,16:00,odd,Centre St,Melville Ave,0.195454545454545,,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,f,2012-02-14 13:36:32+00,ALLST3,0.0,1032.0,2024-09-12 04:31:41+00,allston st,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,Dorchester
