main_id,st_name,dist,dist_name,start_time,end_time,side,from,to,miles,section,one_way,week_1,week_2,week_3,week_4,week_5,sunday,monday,tuesday,wednesday,thursday,friday,saturday,every_day,year_round,north_end_pilot,timestamp,parent,losta,hista,_ingest_datetime
1,Ackley Pl,2,Jamaica Plain,08:00,12:00,Even,Washington St,Dead End,0.0454545454545455,,f,f,t,f,t,f,f,t,f,f,f,f,t,f,f,f,2018-06-26 13:43:55+00,ACKLE1,0,240,2024-09-12 04:31:41+00
2,Arcadia Park,3,North Dorchester,08:00,12:00,Even,Draper St,Ditson St,0.0835227272727273,,f,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,2014-06-19 13:15:28+00,ARCAD1,0,441,2024-09-12 04:31:41+00
3,Ashcroft St,2,Jamaica Plain,08:00,12:00,Odd,Perkins St,Moraine St,0.101515151515152,,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,f,2012-02-14 13:36:32+00,ASHCR1,0,536,2024-09-12 04:31:41+00
4,Boylston St,1B,Back Bay,00:01,07:00,,Tremont St,Charles St,0.151893939393939,,f,t,t,t,t,t,t,t,t,t,t,t,t,t,t,f,2012-02-29 15:06:53+00,BOYLS6,525,1327,2024-09-12 04:31:41+00
5,Chestnut St,1H,Beacon Hill,08:00,12:00,Even,Walnut St,Charles St,0.200757575757576,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,t,2012-02-14 13:36:32+00,CHEST10,0,1060,2024-09-12 04:31:41+00
6,Blackwood St,1B,Back Bay,08:00,12:00,Even,St Botolph St,Dead End,0.0517045454545455,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,BLACK4,0,273,2024-09-12 04:31:41+00
7,Bucknam St,10M,Mission Hill,12:00,16:00,Odd,Lawn St,Fisher Ave,0.0803030303030303,,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,f,2018-09-24 17:15:05+00,BUCKN1,0,424,2024-09-12 04:31:41+00
8,Acadia St,5,South Boston,09:00,13:00,Even,East First St,East Second St,0.0568181818181818,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,ACADI1,0,300,2024-09-12 04:31:41+00
9,Acadia St,5,South Boston,09:00,13:00,Odd,East First St,East Second St,0.0568181818181818,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,ACADI1,0,300,2024-09-12 04:31:41+00
10,Allston St,7,South Dorchester,12:00,16:00,Odd,Centre St,Melville Ave,0.195454545454545,,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,f,2012-02-14 13:36:32+00,ALLST3,0,1032,2024-09-12 04:31:41+00
12,Abbotsford St,10R,Roxbury,08:00,12:00,Odd,Walnut Ave,Harold St,0.121022727272727,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,ABBOT1,0,639,2024-09-12 04:31:41+00
13,Brooks St,9,East Boston,12:00,16:00,Even,Cheslea St,Princeton St,0.20928,,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,f,2015-04-07 19:16:28+00,BROOK12,222,1327,2024-09-12 04:31:41+00
15,Bullard St,3,North Dorchester,12:00,16:00,Odd,Bowdoin St,Bowdoin Ave,0.19905303030303,,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,f,2013-06-13 20:07:42+00,BULLA1,0,1051,2024-09-12 04:31:41+00
16,Centre St,7,South Dorchester,08:00,12:00,Even,Talbot Ave,Dorchester Ave,0.540530303030303,,f,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,2012-02-14 13:36:32+00,CENTR7,0,2854,2024-09-12 04:31:41+00
17,Appleton St,1S,South End,12:00,16:00,Odd,Tremont St,West Canton St,0.39375,,f,t,f,t,f,t,f,f,f,t,f,f,f,f,f,t,2012-02-14 13:36:32+00,APPLE1,0,2079,2024-09-12 04:31:41+00
18,Boylston St,2,Jamaica Plain,08:00,12:00,Odd,Lamartine St,Washington St,0.351515151515152,,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,BOYLS2,2084,3940,2024-09-12 04:31:41+00
19,Ames St,7,South Dorchester,08:00,12:00,Odd,Westview St,Dead End,0.304166666666667,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,AMES 1,0,1606,2024-09-12 04:31:41+00
20,Caryll St,7,South Dorchester,12:00,16:00,Odd,Morton St,Maryknoll St,0.170454545454545,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2012-02-14 13:36:32+00,CARYL1,0,900,2024-09-12 04:31:41+00
